,datetime,site,geometry,SWE,SWE_units,MAX AIR TEMP,MAX AIR TEMP_units,PRECIPITATION,PRECIPITATION_units,datasource
176,1990-06-26 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,80.6,degF,0.0,in,NRCS
177,1990-06-27 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,83.3,degF,0.0,in,NRCS
178,1990-06-28 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,80.6,degF,0.0,in,NRCS
179,1990-06-29 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,84.02,degF,0.0,in,NRCS
180,1990-06-30 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,79.88,degF,0.1,in,NRCS
181,1990-07-01 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,54.14,degF,0.0,in,NRCS
182,1990-07-02 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,82.4,degF,0.0,in,NRCS
183,1990-07-03 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,68.54,degF,0.1,in,NRCS
184,1990-07-04 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,71.96,degF,0.0,in,NRCS
185,1990-07-05 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,67.28,degF,0.4,in,NRCS
186,1990-07-06 08:00:00+00:00,380:CO:SNTL,POINT Z (-106.95327 38.89435 10190),0.0,in,67.28,degF,0.0,in,NRCS
